,name,Classic,Outstanding,Very Good,Good
1,acidic,NA,NA,840,356
2,acids,33,645,1108,244
3,aftertaste,NA,756,1787,264
4,aging,260,2879,1943,136
5,alcohol,46,1015,1779,447
6,almond,33,810,1821,197
7,almost,112,1530,1832,406
8,along,114,2010,2897,343
9,also,199,2661,2956,450
10,although,75,968,1327,226
11,apple,133,3853,7865,991
12,apricot,87,1358,2005,283
13,astringent,NA,NA,948,195
14,attractive,NA,789,2723,304
15,baked,39,1348,1609,279
16,balance,206,2740,2340,310
17,balanced,230,3826,3625,185
18,banana,NA,NA,NA,181
19,basic,NA,NA,NA,275
20,berries,62,893,1203,161
21,berry,264,5114,8718,1392
22,best,197,2018,1267,174
23,better,52,752,NA,130
24,big,102,1867,1743,194
25,bitter,32,554,1862,760
26,bitterness,NA,NA,NA,229
27,black,786,12603,11252,751
28,blackberries,101,958,968,192
29,blackberry,256,5867,5943,641
30,blanc,NA,780,1782,256
31,bland,NA,NA,NA,179
32,blend,178,5000,6994,893
33,blueberry,59,1463,1378,144
34,bodied,44,1123,1420,155
35,body,35,1188,1697,258
36,bouquet,33,760,1222,196
37,bright,172,3596,6695,505
38,briny,NA,NA,NA,202
39,brisk,NA,584,1393,127
40,burnt,NA,NA,NA,281
41,buttered,47,NA,NA,184
42,cab,28,598,803,178
43,cabernet,345,4824,4789,546
44,can,110,1039,827,149
45,candied,47,603,1286,557
46,candy,NA,NA,NA,268
47,caramel,56,968,1095,267
48,cassis,177,2438,1763,128
49,character,157,2934,4454,781
50,chardonnay,99,1548,2467,534
51,cherries,124,1772,1999,358
52,cherry,571,10817,14078,1915
53,chocolate,248,4093,3481,419
54,chunky,NA,NA,820,288
55,cinnamon,134,1769,1433,143
56,citric,NA,NA,NA,146
57,citrus,171,3319,6835,1050
58,citrusy,NA,NA,867,158
59,clean,46,1271,3779,504
60,close,NA,588,1167,130
61,cloying,NA,NA,NA,146
62,coffee,76,1784,2092,151
63,cola,109,1904,1871,261
64,color,61,1489,2170,470
65,come,111,1461,1887,306
66,cranberry,39,1427,1502,156
67,creamy,61,2168,3032,384
68,crisp,124,3534,8202,933
69,currant,114,2130,2982,389
70,currants,100,887,954,143
71,dark,409,6010,4588,323
72,decent,NA,NA,NA,204
73,despite,46,636,NA,140
74,dilute,NA,NA,NA,146
75,doesnt,NA,NA,825,293
76,dominate,NA,NA,NA,133
77,dried,157,3424,3997,292
78,drinking,39,625,1280,144
79,dry,256,5259,8395,1538
80,dull,NA,NA,NA,195
81,dusty,65,958,1339,155
82,earth,111,1746,1690,172
83,earthy,78,1951,2595,530
84,easy,NA,487,2822,443
85,edge,59,1150,1816,326
86,end,34,823,1420,235
87,enough,39,845,1430,284
88,even,157,1119,920,166
89,everyday,NA,NA,NA,209
90,fairly,NA,NA,765,142
91,feel,37,1068,2392,587
92,feels,36,855,2525,814
93,fine,203,3169,2314,206
94,finishes,26,1023,2123,433
95,firm,274,4815,3867,204
96,flat,NA,NA,NA,397
97,flavor,100,2052,3119,723
98,floral,76,1458,1980,223
99,followed,NA,912,1615,203
100,franc,82,1374,1261,138
101,fresh,204,5392,10409,952
102,freshness,178,2153,1919,195
103,front,NA,NA,831,147
104,fruitiness,41,817,1432,163
105,fruity,67,2154,6381,866
106,full,204,4454,5091,347
107,fullbodied,102,2647,2327,155
108,funky,NA,NA,NA,168
109,generic,NA,NA,NA,253
110,get,NA,NA,NA,174
111,give,148,2476,2831,282
112,gives,92,1215,1843,237
113,giving,52,839,976,127
114,going,36,NA,NA,156
115,good,101,2563,5989,790
116,grabby,NA,NA,NA,137
117,grape,NA,830,1362,191
118,grapefruit,61,1428,2309,262
119,grapes,61,1267,1613,196
120,grassy,NA,NA,NA,192
121,green,77,2203,5309,1460
122,gritty,NA,NA,NA,160
123,hard,70,675,1135,484
124,harsh,NA,NA,NA,170
125,heat,NA,NA,763,160
126,heavy,NA,NA,1139,587
127,herb,127,2786,3160,270
128,herbal,28,1449,3679,1016
129,herbs,91,1862,2201,259
130,high,47,853,1264,385
131,hint,82,1810,3716,375
132,hints,88,2026,2653,308
133,honey,149,1580,1954,243
134,hot,NA,NA,NA,359
135,isnt,NA,NA,NA,153
136,jam,41,750,1225,307
137,jammy,NA,702,1601,450
138,juice,NA,513,713,236
139,juicy,210,4176,5023,343
140,just,231,2382,3104,499
141,lacks,NA,NA,NA,246
142,lead,47,1798,3078,312
143,leafy,NA,NA,NA,159
144,lean,NA,NA,1505,518
145,leather,178,2534,2336,210
146,leathery,NA,NA,NA,139
147,lemon,195,3237,4562,505
148,lemony,NA,NA,NA,141
149,licorice,202,3189,2427,161
150,light,76,2729,7242,1394
151,lightly,NA,968,2176,298
152,like,111,1929,2956,1136
153,lime,39,1707,2865,308
154,little,28,722,2363,752
155,lively,45,1367,2791,169
156,lot,NA,NA,699,149
157,lots,NA,652,918,149
158,low,NA,NA,NA,193
159,made,113,2528,3554,375
160,make,61,1239,1712,256
161,makes,44,995,1293,195
162,malbec,34,1080,1114,169
163,mango,27,NA,NA,130
164,mealy,NA,NA,NA,129
165,medicinal,NA,NA,NA,175
166,medium,NA,748,1877,248
167,mediumbodied,NA,663,1759,196
168,melon,NA,914,2787,483
169,merlot,100,2239,2972,405
170,mild,NA,NA,992,243
171,mint,81,1157,1079,211
172,minty,NA,NA,NA,217
173,modest,NA,NA,NA,229
174,mouth,90,1905,3100,696
175,mouthfeel,58,1636,2495,540
176,much,80,772,1355,686
177,new,213,2414,1715,134
178,nice,NA,629,1885,203
179,noir,94,1259,1578,250
180,note,118,2014,3566,506
